"","Date","Microsoft","Glasses","Phone","Office 10","Band","Hologram","Surface","Office","Silverlight","Outlook"
"194","2009-01-13",78,40,45,49,56,47,52,92,51,86
"195","2009-01-14",77,0,60,24,40,47,52,91,61,85
"196","2009-01-15",77,0,62,0,33,0,28,94,51,95
"197","2009-01-16",74,42,54,0,43,50,33,83,55,90
"198","2009-01-17",70,53,38,0,43,0,46,84,49,57
"199","2009-01-18",68,0,42,32,42,0,36,91,50,60
"200","2009-01-19",74,39,41,0,32,0,43,89,48,84
"201","2009-01-20",75,0,50,24,56,0,38,93,60,92
"202","2009-01-21",77,0,62,0,40,0,29,89,50,90
"203","2009-01-22",81,0,53,24,80,0,42,93,51,93
"204","2009-01-23",77,42,57,34,42,0,35,88,44,86
"205","2009-01-24",69,0,51,0,53,0,35,82,67,63
"206","2009-01-25",69,0,35,0,42,0,39,86,51,58
"207","2009-01-26",73,0,42,24,16,0,40,85,41,81
"208","2009-01-27",77,0,47,0,32,0,49,88,48,88
"209","2009-01-28",77,0,51,36,32,0,41,90,51,93
"210","2009-01-29",75,40,55,0,41,0,42,91,56,89
"211","2009-01-30",70,42,57,26,43,100,58,84,52,84
"212","2009-01-31",69,0,60,32,42,0,40,91,45,70
"213","2009-02-01",67,100,35,0,20,60,36,98,49,62
"214","2009-02-02",72,76,42,24,31,0,43,97,42,87
"215","2009-02-03",75,38,55,0,23,0,39,97,58,94
"216","2009-02-04",75,95,59,0,31,0,39,100,41,96
"217","2009-02-05",72,0,43,47,24,0,33,93,49,94
"218","2009-02-06",71,0,80,25,33,0,45,86,52,90
"219","2009-02-07",64,51,74,0,31,0,24,84,57,60
"220","2009-02-08",66,0,66,46,50,0,23,92,63,56
"221","2009-02-09",72,37,75,0,23,0,26,88,44,82
"222","2009-02-10",74,0,63,0,30,0,40,89,54,86
"223","2009-02-11",74,0,47,24,39,0,38,89,59,93
"224","2009-02-12",73,39,59,48,48,0,48,89,57,87
"225","2009-02-13",71,0,72,0,25,0,39,80,54,81
"226","2009-02-14",63,0,58,32,42,0,28,78,56,63
"227","2009-02-15",65,0,44,32,21,0,48,85,64,57
"228","2009-02-16",71,38,97,24,32,0,38,89,45,80
"229","2009-02-17",74,38,100,23,31,45,35,90,55,91
"230","2009-02-18",73,0,73,24,16,0,28,91,66,91
"231","2009-02-19",72,39,83,24,24,0,38,90,53,86
"232","2009-02-20",68,41,86,25,67,0,32,84,55,79
"233","2009-02-21",66,0,71,32,52,0,24,80,53,67
"234","2009-02-22",64,0,44,0,21,0,21,87,56,58
"235","2009-02-23",71,0,66,47,31,45,32,88,45,79
"236","2009-02-24",73,0,61,96,0,0,44,90,48,96
"237","2009-02-25",73,0,71,47,47,0,29,90,66,87
"238","2009-02-26",73,0,62,47,31,0,39,92,100,86
"239","2009-02-27",69,0,53,37,49,0,46,87,68,85
"240","2009-02-28",64,50,50,31,41,0,17,91,77,64
"241","2009-03-01",65,0,41,0,20,0,20,96,73,58
"242","2009-03-02",71,37,73,0,30,0,82,96,48,88
"243","2009-03-03",75,37,59,23,30,0,100,98,55,88
"244","2009-03-04",73,0,59,23,15,0,69,93,63,87
"245","2009-03-05",72,38,42,24,46,45,53,95,59,92
"246","2009-03-06",68,0,61,50,25,0,44,88,46,77
"247","2009-03-07",63,0,57,63,21,60,47,87,51,57
"248","2009-03-08",64,98,58,30,20,0,33,88,56,52
"249","2009-03-09",71,37,56,0,30,44,43,89,47,87
"250","2009-03-10",74,0,63,0,15,0,41,94,45,89
"251","2009-03-11",71,37,66,0,31,0,49,89,44,86
"252","2009-03-12",72,0,61,0,47,0,47,86,51,87
"253","2009-03-13",70,0,44,25,33,0,65,84,52,74
"254","2009-03-14",63,50,45,0,21,60,36,86,64,58
"255","2009-03-15",64,49,46,0,20,0,26,90,79,59
"256","2009-03-16",69,37,47,35,46,44,64,89,46,82
"257","2009-03-17",71,0,76,46,54,0,54,87,47,81
"258","2009-03-18",70,0,58,47,62,45,55,92,53,81
"259","2009-03-19",76,0,50,47,39,0,44,89,91,81
"260","2009-03-20",73,81,72,25,50,0,57,81,74,81
"261","2009-03-21",66,0,46,32,42,0,30,80,84,67
"262","2009-03-22",66,49,46,31,100,0,34,87,73,57
"263","2009-03-23",71,37,53,34,22,86,42,91,60,80
"264","2009-03-24",73,0,66,45,38,0,46,90,62,85
"265","2009-03-25",72,0,70,61,53,0,47,93,57,89
"266","2009-03-26",73,37,42,35,46,45,57,89,52,82
"267","2009-03-27",70,80,48,25,24,48,51,80,49,81
"268","2009-03-28",63,0,42,30,30,0,25,82,67,66
"269","2009-03-29",67,0,68,30,79,0,27,89,52,60
"270","2009-03-30",75,0,60,30,22,0,45,87,56,82
"271","2009-03-31",100,0,58,34,15,0,43,95,59,86
"272","2010-01-01",78,81,36,65,37,0,15,68,40,57
"273","2010-01-02",82,0,24,63,94,0,16,74,37,59
"274","2010-01-03",84,66,29,69,91,0,11,79,33,76
"275","2010-01-04",91,51,45,64,46,0,14,82,30,98
"276","2010-01-05",95,51,47,68,38,82,29,84,33,98
"277","2010-01-06",97,0,49,74,59,0,35,87,34,89
"278","2010-01-07",100,50,44,70,23,0,35,83,32,97
"279","2010-01-08",93,52,34,67,32,85,38,76,23,87
"280","2010-01-09",85,63,38,77,29,0,27,80,38,71
"281","2010-01-10",89,0,31,81,57,0,24,91,34,65
"282","2010-01-11",94,49,38,73,52,80,21,90,27,87
"283","2010-01-12",96,48,45,74,97,0,44,90,26,100
"284","2010-01-13",96,48,38,81,66,78,26,92,33,89
"285","2010-01-14",97,100,34,72,38,0,25,90,33,92
"286","2010-01-15",91,51,33,69,47,84,38,80,31,87
"287","2010-01-16",87,0,40,73,72,0,17,84,29,65
"288","2010-01-17",88,62,34,81,38,100,29,86,33,58
"289","2010-01-18",94,0,29,76,44,79,17,87,21,79
"290","2010-01-19",96,48,40,65,65,0,22,88,39,93
"291","2010-01-20",99,0,39,77,80,0,25,88,100,85
"292","2010-01-21",100,48,38,81,96,78,28,90,52,96
"293","2010-01-22",97,51,34,70,85,0,30,86,46,86
"294","2010-01-23",89,63,38,81,99,0,27,88,50,76
"295","2010-01-24",88,0,37,70,83,99,30,88,45,63
"296","2010-01-25",92,0,37,71,100,0,23,88,34,89
"297","2010-01-26",97,95,41,68,94,0,36,86,37,90
"298","2010-01-27",97,71,50,69,50,0,38,85,38,94
"299","2010-01-28",99,48,51,68,59,0,100,85,39,93
"300","2010-01-29",92,0,36,75,39,0,55,77,38,84
"301","2010-01-30",88,62,42,73,56,0,32,82,36,73
"302","2010-01-31",92,0,35,79,65,0,35,100,38,65
"303","2010-02-01",96,47,36,79,86,0,27,94,30,95
"304","2010-02-02",100,0,40,75,65,77,29,93,36,95
"305","2010-02-03",97,0,37,83,58,0,30,93,33,86
"306","2010-02-04",96,0,35,89,33,0,27,87,32,90
"307","2010-02-05",92,50,35,73,57,0,38,85,31,78
"308","2010-02-06",85,62,45,92,66,0,31,83,40,66
"309","2010-02-07",88,0,27,91,46,0,21,90,33,59
"310","2010-02-08",93,0,33,79,65,0,30,85,30,77
"311","2010-02-09",97,47,31,78,50,77,40,90,34,88
"312","2010-02-10",96,0,35,77,97,0,42,88,29,90
"313","2010-02-11",96,0,39,70,22,79,49,84,37,88
"314","2010-02-12",91,51,39,76,0,0,57,81,44,82
"315","2010-02-13",82,63,38,89,29,0,45,77,62,57
"316","2010-02-14",83,0,32,84,68,0,30,82,71,58
"317","2010-02-15",92,51,89,85,54,0,28,84,55,81
"318","2010-02-16",98,98,100,80,56,0,30,84,60,85
"319","2010-02-17",95,49,73,82,44,0,39,87,58,83
"320","2010-02-18",98,0,49,79,74,0,48,84,50,89
"321","2010-02-19",92,51,38,83,77,0,26,79,54,84
"322","2010-02-20",87,62,46,92,28,0,26,82,43,65
"323","2010-02-21",90,60,47,85,45,0,28,86,62,65
"324","2010-02-22",95,93,49,69,64,75,19,86,44,89
"325","2010-02-23",98,93,48,75,92,0,32,86,43,85
"326","2010-02-24",97,0,45,83,57,0,28,91,53,85
"327","2010-02-25",95,0,40,73,36,0,33,82,46,82
"328","2010-02-26",89,74,34,71,45,0,23,75,48,83
"329","2010-02-27",84,61,34,88,55,0,17,79,51,61
"330","2010-02-28",87,0,42,93,40,0,18,92,52,62
"331","2010-03-01",95,47,43,89,43,0,22,90,36,88
"332","2010-03-02",97,47,47,84,71,0,33,89,33,92
"333","2010-03-03",97,47,45,84,50,0,27,89,35,84
"334","2010-03-04",95,48,39,80,66,0,32,86,34,82
"335","2010-03-05",91,51,59,84,38,0,35,79,32,89
"336","2010-03-06",87,0,50,100,65,0,28,81,46,60
"337","2010-03-07",89,61,49,93,27,0,16,90,41,66
"338","2010-03-08",92,70,42,84,64,0,25,84,37,82
"339","2010-03-09",97,47,46,92,57,0,27,87,32,94
"340","2010-03-10",98,0,46,83,50,0,25,91,35,89
"341","2010-03-11",96,0,34,90,43,0,25,85,33,90
"342","2010-03-12",91,99,41,89,75,0,20,80,37,83
"343","2010-03-13",84,0,38,93,64,0,24,80,43,63
"344","2010-03-14",84,0,32,95,90,0,29,84,37,59
"345","2010-03-15",92,0,45,86,84,0,34,85,37,86
"346","2010-03-16",95,94,45,88,65,0,30,84,34,88
"347","2010-03-17",95,0,45,83,65,0,23,82,38,89
"348","2010-03-18",93,97,30,81,66,0,29,81,37,90
"349","2010-03-19",89,50,33,87,39,0,18,78,48,84
"350","2010-03-20",80,61,43,86,56,0,28,76,38,54
"351","2010-03-21",83,0,47,91,68,0,37,84,49,56
"352","2010-03-22",90,0,46,88,35,76,35,81,33,84
"353","2010-03-23",93,62,47,85,43,76,26,82,33,81
"354","2010-03-24",93,47,41,82,22,77,26,84,34,91
"355","2010-03-25",92,0,41,82,44,0,34,78,36,87
"356","2010-03-26",86,0,49,71,46,0,20,73,37,86
"357","2010-03-27",79,0,42,89,76,0,19,76,33,58
"358","2010-03-28",82,0,41,93,66,0,26,80,44,50
"359","2010-03-29",90,47,48,79,78,0,21,79,30,95
"360","2010-03-30",96,47,50,79,65,0,17,79,31,86
"361","2010-03-31",96,0,42,81,89,0,21,81,38,85
"362","2011-01-01",71,0,64,77,38,0,14,68,83,52
"363","2011-01-02",81,100,69,90,33,0,11,83,100,61
"364","2011-01-03",91,0,82,94,37,0,16,92,75,93
"365","2011-01-04",96,0,75,100,62,34,15,97,74,95
"366","2011-01-05",98,0,62,96,57,0,16,95,85,100
"367","2011-01-06",98,40,77,92,26,0,100,94,90,88
"368","2011-01-07",93,0,56,88,42,35,76,88,82,96
"369","2011-01-08",84,95,68,91,47,0,48,88,80,62
"370","2011-01-09",85,46,68,97,49,41,40,90,84,62
"371","2011-01-10",95,38,62,90,15,0,38,94,87,92
"372","2011-01-11",96,74,60,93,25,33,37,96,70,95
"373","2011-01-12",97,0,68,94,34,33,23,96,67,96
"374","2011-01-13",97,38,72,89,30,100,21,96,74,91
"375","2011-01-14",91,39,55,85,46,0,27,87,77,78
"376","2011-01-15",83,46,70,91,37,0,22,87,71,57
