date,Amazon uk
2013-03-15,72
2013-03-16,84
2013-03-17,100
2013-03-18,80
2013-03-19,76
2013-03-20,76
2013-03-21,73
2013-03-22,76
2013-03-23,90
2013-03-24,100
2013-03-25,82
2013-03-26,80
2013-03-27,78
2013-03-28,76
2013-03-29,85
2013-03-30,84
2013-03-31,90
2014-01-01,100
2014-01-02,93
2014-01-03,92
2014-01-04,94
2014-01-05,99
2014-01-06,89
2014-01-07,80
2014-01-08,79
2014-01-09,75
2014-01-10,71
2014-01-11,83
2014-01-12,93
2014-01-13,75
2014-01-14,78
2014-01-15,74
2014-01-16,74
2014-01-17,72
2014-01-18,83
2014-01-19,94
2014-01-20,78
2014-01-21,72
2014-01-22,71
2014-01-23,72
2014-01-24,68
2014-01-25,83
2014-01-26,92
2014-01-27,77
2014-01-28,71
2014-01-29,74
2014-01-30,72
2014-01-31,71
2014-02-01,83
2014-02-02,93
2014-02-03,74
2014-02-04,72
2014-02-05,74
2014-02-06,76
2014-02-07,69
2014-02-08,80
2014-02-09,93
2014-02-10,75
2014-02-11,72
2014-02-12,71
2014-02-13,64
2014-02-14,64
2014-02-15,80
2014-02-16,83
2014-02-17,75
2014-02-18,71
2014-02-19,66
2014-02-20,67
2014-02-21,70
2014-02-22,76
2014-02-23,88
2014-02-24,75
2014-02-25,75
2014-02-26,73
2014-02-27,72
2014-02-28,70
2014-03-01,78
2014-03-02,93
2014-03-03,74
2014-03-04,72
2014-03-05,74
2014-03-06,68
2014-03-07,69
2014-03-08,76
2014-03-09,79
2014-03-10,74
2014-03-11,70
2014-03-12,68
2014-03-13,70
2014-03-14,68
2014-03-15,74
2014-03-16,83
2014-03-17,72
2014-03-18,70
2014-03-19,68
2014-03-20,70
2014-03-21,68
2014-03-22,79
2014-03-23,90
2014-03-24,74
2014-03-25,75
2014-03-26,73
2014-03-27,72
2014-03-28,67
2014-03-29,72
2014-03-30,84
2014-03-31,74
2015-01-01,95
2015-01-02,88
2015-01-03,96
2015-01-04,93
2015-01-05,81
2015-01-06,78
2015-01-07,73
2015-01-08,71
2015-01-09,69
2015-01-10,81
2015-01-11,89
2015-01-12,74
2015-01-13,71
2015-01-14,69
2015-01-15,72
2015-01-16,70
2015-01-17,79
2015-01-18,84
2015-01-19,69
2015-01-20,69
2015-01-21,68
2015-01-22,69
2015-01-23,68
2015-01-24,76
2015-01-25,88
2015-01-26,71
2015-01-27,69
2015-01-28,71
2015-01-29,68
2015-01-30,67
2015-01-31,80
2015-02-01,86
2015-02-02,72
2015-02-03,67
2015-02-04,70
2015-02-05,65
2015-02-06,64
2015-02-07,74
2015-02-08,81
2015-02-09,70
2015-02-10,65
2015-02-11,66
2015-02-12,64
2015-02-13,64
2015-02-14,72
2015-02-15,100
2015-02-16,82
2015-02-17,66
2015-02-18,65
2015-02-19,62
2015-02-20,65
2015-02-21,71
2015-02-22,81
2015-02-23,67
2015-02-24,65
2015-02-25,66
2015-02-26,65
2015-02-27,63
2015-02-28,74
2015-03-01,82
2015-03-02,70
2015-03-03,65
2015-03-04,63
2015-03-05,62
2015-03-06,63
2015-03-07,71
2015-03-08,80
2015-03-09,70
2015-03-10,62
2015-03-11,64
2015-03-12,62
2015-03-13,59
2015-03-14,68
2015-03-15,74
2015-03-16,66
2015-03-17,64
2015-03-18,61
2015-03-19,61
2015-03-20,58
2015-03-21,69
2015-03-22,71
2015-03-23,66
2015-03-24,66
2015-03-25,54
2015-03-26,67
2015-03-27,61
2015-03-28,71
2015-03-29,83
2015-03-30,66
2015-03-31,66
2016-01-01,86
2016-01-02,95
2016-01-03,100
2016-01-04,88
2016-01-05,82
2016-01-06,82
2016-01-07,80
2016-01-08,76
2016-01-09,83
2016-01-10,92
2016-01-11,80
2016-01-12,73
2016-01-13,68
2016-01-14,65
2016-01-15,61
2016-01-16,68
2016-01-17,76
2016-01-18,64
2016-01-19,62
2016-01-20,62
2016-01-21,62
2016-01-22,64
2016-01-23,67
2016-01-24,75
2016-01-25,63
