Date,Amazon Australia,Amazon dvd,Amazon mp3,Amazon books,Amazon India,Amazon music,Amazon UK,Amazon video,Amazon error,Amazon kindle,Amazon order,Amazon recall,Amazon register,Amazon sucks,Amazon echo,Price
1/28/08,89,58,75,74,19,87,71,58,23,35,34,0,48,35,67,75.190002
1/29/08,44,60,61,81,19,73,61,70,22,34,34,0,0,34,65,74.449997
1/30/08,88,48,56,87,33,73,60,51,23,0,57,0,32,0,66,77.730003
1/31/08,34,49,51,63,27,64,62,52,24,36,35,0,32,36,68,75.800003
2/1/08,68,69,51,73,0,63,60,60,0,38,25,0,0,38,68,72.959999
2/2/08,38,68,51,58,100,97,67,79,32,0,31,0,45,0,54,72.080002
2/3/08,70,77,48,85,45,66,81,84,32,0,55,33,44,0,57,73.639999
2/4/08,47,65,40,72,27,65,63,68,24,0,18,0,100,0,69,69.900002
2/5/08,83,55,43,79,41,81,55,59,0,36,70,0,33,36,69,72.080002
2/6/08,40,62,46,79,20,60,62,58,47,0,41,0,33,0,65,73.269997
2/7/08,53,66,33,78,48,69,70,54,0,0,12,100,33,0,70,71.690002
2/8/08,53,62,49,84,29,70,60,45,0,0,25,0,0,0,67,70.870003
2/9/08,59,79,60,78,45,80,82,88,0,0,48,0,0,0,55,67.849998
2/10/08,45,83,59,73,45,76,74,69,64,0,39,33,0,0,53,64.470001
2/11/08,75,67,51,77,85,73,71,61,23,0,40,0,65,0,63,62.43
2/12/08,51,55,38,63,33,60,64,52,0,0,51,24,0,0,65,65.339996
2/13/08,45,57,36,78,58,61,64,36,0,71,29,0,0,71,63,64.989998
2/14/08,41,53,34,72,61,53,56,51,0,73,41,50,33,73,66,62.740002
2/15/08,49,57,39,68,42,69,71,61,25,38,31,52,0,38,95,64.089996
2/16/08,41,80,42,70,63,87,75,76,31,48,54,0,0,48,100,63.470001
2/17/08,52,86,50,72,88,76,76,55,0,0,38,0,43,0,67,67.150002
2/18/08,39,58,50,71,91,71,57,55,0,0,62,24,0,0,74,66.510002
2/19/08,59,65,42,78,38,70,56,40,0,0,45,0,0,0,66,68.32
2/20/08,38,69,31,82,32,58,50,68,0,34,45,0,31,34,63,68.220001
2/21/08,59,59,29,68,32,57,60,55,0,35,34,24,48,35,62,66.529999
2/22/08,50,64,37,70,41,66,56,58,0,36,60,25,0,36,66,71.699997
2/23/08,36,80,57,74,52,81,59,59,30,47,46,0,85,47,55,70.169998
2/24/08,47,73,54,69,51,80,69,78,0,0,37,0,41,0,53,73.190002
2/25/08,66,62,47,79,25,61,67,55,0,34,76,0,0,34,67,75.949997
2/26/08,48,71,38,70,31,67,59,45,21,0,38,34,30,0,64,75.169998
2/27/08,55,52,33,68,32,60,56,49,22,34,44,23,62,34,63,73.800003
2/28/08,36,61,34,59,45,71,49,33,0,35,45,0,63,35,65,70.800003
2/29/08,50,59,46,70,41,60,62,79,0,0,53,0,0,0,66,69.760002
3/1/08,39,75,59,58,43,75,73,63,0,0,38,0,84,0,55,71.300003
3/2/08,62,68,56,85,59,81,69,68,0,45,22,31,0,45,53,76.699997
3/3/08,69,66,51,75,50,60,67,51,44,34,33,0,46,34,63,77.370003
3/4/08,54,62,51,75,44,63,70,56,0,0,27,0,0,0,64,74.940002
3/5/08,60,59,39,71,57,63,54,51,22,34,27,23,31,34,65,76.870003
3/6/08,36,53,44,74,26,59,56,49,23,35,46,0,63,35,64,76.900002
3/7/08,72,50,33,76,61,65,60,68,24,36,12,0,34,36,65,77.300003
3/8/08,75,59,49,66,68,76,71,54,0,0,52,0,42,0,58,74.389999
3/9/08,65,81,51,84,58,91,83,77,0,0,36,0,0,0,55,74.830002
3/10/08,77,63,43,78,50,64,64,59,0,33,38,23,0,33,70,71.989998
3/11/08,40,57,42,84,82,52,64,47,0,67,33,0,0,67,67,72.610001
3/12/08,58,58,35,89,25,68,51,63,0,0,44,0,0,0,65,72.5
3/13/08,44,49,37,76,45,56,58,52,0,35,17,24,0,35,68,74.589996
3/14/08,47,53,45,65,41,73,50,57,24,0,12,0,0,0,69,74.040001
3/15/08,56,73,50,74,44,76,78,53,0,0,46,32,0,0,57,80.099998
3/16/08,96,69,58,78,59,91,71,68,0,89,44,0,82,89,54,80.18
3/17/08,69,65,38,68,38,75,55,61,22,34,44,23,0,34,69,79.599998
3/18/08,65,64,37,76,45,69,60,51,23,68,11,0,31,68,64,81
3/19/08,40,58,28,78,13,73,57,71,0,36,23,0,0,36,65,77.690002
3/20/08,33,55,33,67,36,61,53,55,100,0,44,0,52,0,63,80.860001
3/21/08,44,67,36,68,56,65,63,44,0,43,28,0,39,43,58,81.970001
3/22/08,56,60,47,58,56,83,62,61,0,0,49,34,45,0,51,80.739998
