"","date","Amazon"
"348","2007-09-13",86
"349","2007-09-14",84
"350","2007-09-15",91
"351","2007-09-16",96
"352","2007-09-17",85
"353","2007-09-18",86
"354","2007-09-19",85
"355","2007-09-20",83
"356","2007-09-21",85
"357","2007-09-22",89
"358","2007-09-23",95
"359","2007-09-24",87
"360","2007-09-25",91
"361","2007-09-26",91
"362","2007-09-27",90
"363","2007-09-28",89
"364","2007-09-29",94
"365","2007-09-30",100
"366","2007-10-01",58
"367","2007-10-02",57
"368","2007-10-03",57
"369","2007-10-04",56
"370","2007-10-05",56
"371","2007-10-06",57
"372","2007-10-07",62
"373","2007-10-08",57
"374","2007-10-09",58
"375","2007-10-10",56
"376","2007-10-11",56
"377","2007-10-12",56
"378","2007-10-13",61
"379","2007-10-14",64
"380","2007-10-15",59
"381","2007-10-16",58
"382","2007-10-17",56
"383","2007-10-18",57
"384","2007-10-19",56
"385","2007-10-20",58
"386","2007-10-21",64
"387","2007-10-22",58
"388","2007-10-23",58
"389","2007-10-24",58
"390","2007-10-25",59
"391","2007-10-26",59
"392","2007-10-27",61
"393","2007-10-28",67
"394","2007-10-29",60
"395","2007-10-30",59
"396","2007-10-31",57
"397","2007-11-01",62
"398","2007-11-02",62
"399","2007-11-03",63
"400","2007-11-04",69
"401","2007-11-05",63
"402","2007-11-06",64
"403","2007-11-07",63
"404","2007-11-08",62
"405","2007-11-09",63
"406","2007-11-10",69
"407","2007-11-11",75
"408","2007-11-12",67
"409","2007-11-13",65
"410","2007-11-14",66
"411","2007-11-15",66
"412","2007-11-16",65
"413","2007-11-17",72
"414","2007-11-18",83
"415","2007-11-19",77
"416","2007-11-20",76
"417","2007-11-21",74
"418","2007-11-22",75
"419","2007-11-23",82
"420","2007-11-24",85
"421","2007-11-25",91
"422","2007-11-26",86
"423","2007-11-27",81
"424","2007-11-28",78
"425","2007-11-29",77
"426","2007-11-30",78
"427","2007-12-01",87
"428","2007-12-02",97
"429","2007-12-03",88
"430","2007-12-04",87
"431","2007-12-05",86
"432","2007-12-06",86
"433","2007-12-07",85
"434","2007-12-08",92
"435","2007-12-09",100
"436","2007-12-10",94
"437","2007-12-11",94
"438","2007-12-12",91
"439","2007-12-13",90
"440","2007-12-14",90
"441","2007-12-15",96
"442","2007-12-16",99
"443","2007-12-17",93
"444","2007-12-18",90
"445","2007-12-19",84
"446","2007-12-20",79
"447","2007-12-21",73
"448","2007-12-22",70
"449","2007-12-23",66
"450","2007-12-24",63
"451","2007-12-25",68
"452","2007-12-26",76
"453","2007-12-27",75
"454","2007-12-28",74
"455","2007-12-29",74
"456","2007-12-30",74
"457","2007-12-31",70
"458","2008-01-01",100
"459","2008-01-02",96
"460","2008-01-03",93
"461","2008-01-04",92
"462","2008-01-05",95
"463","2008-01-06",97
"464","2008-01-07",92
"465","2008-01-08",88
"466","2008-01-09",87
"467","2008-01-10",86
"468","2008-01-11",85
"469","2008-01-12",90
"470","2008-01-13",94
"471","2008-01-14",87
"472","2008-01-15",86
"473","2008-01-16",83
"474","2008-01-17",82
"475","2008-01-18",81
"476","2008-01-19",87
