date,Amazon music
2010-03-20,95
2010-03-21,77
2010-03-22,45
2010-03-23,52
2010-03-24,55
2010-03-25,67
2010-03-26,64
2010-03-27,84
2010-03-28,69
2010-03-29,64
2010-03-30,58
2010-03-31,57
2011-01-01,80
2011-01-02,74
2011-01-03,71
2011-01-04,73
2011-01-05,71
2011-01-06,68
2011-01-07,76
2011-01-08,71
2011-01-09,92
2011-01-10,70
2011-01-11,72
2011-01-12,69
2011-01-13,75
2011-01-14,72
2011-01-15,85
2011-01-16,87
2011-01-17,75
2011-01-18,74
2011-01-19,62
2011-01-20,67
2011-01-21,72
2011-01-22,88
2011-01-23,89
2011-01-24,73
2011-01-25,67
2011-01-26,63
2011-01-27,64
2011-01-28,73
2011-01-29,84
2011-01-30,100
2011-01-31,78
2011-02-01,66
2011-02-02,68
2011-02-03,61
2011-02-04,67
2011-02-05,93
2011-02-06,93
2011-02-07,66
2011-02-08,65
2011-02-09,62
2011-02-10,63
2011-02-11,69
2011-02-12,79
2011-02-13,82
2011-02-14,71
2011-02-15,62
2011-02-16,61
2011-02-17,65
2011-02-18,63
2011-02-19,75
2011-02-20,73
2011-02-21,61
2011-02-22,58
2011-02-23,67
2011-02-24,59
2011-02-25,65
2011-02-26,79
2011-02-27,79
2011-02-28,54
2011-03-01,52
2011-03-02,54
2011-03-03,56
2011-03-04,62
2011-03-05,67
2011-03-06,78
2011-03-07,74
2011-03-08,60
2011-03-09,62
2011-03-10,53
2011-03-11,55
2011-03-12,45
2011-03-13,67
2011-03-14,50
2011-03-15,55
2011-03-16,56
2011-03-17,65
2011-03-18,54
2011-03-19,68
2011-03-20,76
2011-03-21,62
2011-03-22,53
2011-03-23,57
2011-03-24,62
2011-03-25,55
2011-03-26,73
2011-03-27,81
2011-03-28,58
2011-03-29,99
2011-03-30,93
2011-03-31,80
2012-01-01,92
2012-01-02,93
2012-01-03,82
2012-01-04,84
2012-01-05,80
2012-01-06,92
2012-01-07,93
2012-01-08,98
2012-01-09,86
2012-01-10,79
2012-01-11,75
2012-01-12,84
2012-01-13,85
2012-01-14,96
2012-01-15,100
2012-01-16,77
2012-01-17,73
2012-01-18,74
2012-01-19,77
2012-01-20,83
2012-01-21,94
2012-01-22,86
2012-01-23,76
2012-01-24,71
2012-01-25,82
2012-01-26,74
2012-01-27,83
2012-01-28,99
2012-01-29,100
2012-01-30,78
2012-01-31,76
2012-02-01,83
2012-02-02,73
2012-02-03,81
2012-02-04,83
2012-02-05,97
2012-02-06,75
2012-02-07,85
2012-02-08,69
2012-02-09,81
2012-02-10,83
2012-02-11,100
2012-02-12,84
2012-02-13,81
2012-02-14,79
2012-02-15,73
2012-02-16,83
2012-02-17,76
2012-02-18,89
2012-02-19,92
2012-02-20,72
2012-02-21,84
2012-02-22,85
2012-02-23,68
2012-02-24,83
2012-02-25,83
2012-02-26,79
2012-02-27,71
2012-02-28,77
2012-02-29,74
2012-03-01,75
2012-03-02,83
2012-03-03,89
2012-03-04,84
2012-03-05,78
2012-03-06,72
2012-03-07,70
2012-03-08,74
2012-03-09,80
2012-03-10,78
2012-03-11,87
2012-03-12,77
2012-03-13,64
2012-03-14,65
2012-03-15,78
2012-03-16,70
2012-03-17,76
2012-03-18,84
2012-03-19,74
2012-03-20,78
2012-03-21,75
2012-03-22,77
2012-03-23,70
2012-03-24,86
2012-03-25,81
2012-03-26,73
2012-03-27,79
2012-03-28,69
2012-03-29,67
2012-03-30,63
2012-03-31,81
2013-01-01,91
2013-01-02,76
2013-01-03,66
2013-01-04,84
2013-01-05,88
2013-01-06,100
2013-01-07,68
2013-01-08,83
2013-01-09,73
2013-01-10,76
2013-01-11,74
2013-01-12,91
2013-01-13,96
2013-01-14,72
2013-01-15,70
2013-01-16,67
2013-01-17,71
2013-01-18,65
2013-01-19,97
2013-01-20,94
2013-01-21,71
2013-01-22,69
2013-01-23,68
2013-01-24,66
2013-01-25,77
2013-01-26,84
2013-01-27,92
2013-01-28,66
2013-01-29,70
2013-01-30,63
2013-01-31,77
2013-02-01,72
2013-02-02,87
2013-02-03,92
2013-02-04,67
2013-02-05,71
2013-02-06,70
2013-02-07,76
2013-02-08,69
2013-02-09,71
2013-02-10,95
2013-02-11,69
2013-02-12,70
2013-02-13,60
2013-02-14,71
2013-02-15,69
2013-02-16,89
2013-02-17,59
2013-02-18,61
2013-02-19,76
2013-02-20,73
2013-02-21,57
2013-02-22,65
2013-02-23,80
2013-02-24,94
2013-02-25,64
2013-02-26,64
2013-02-27,60
2013-02-28,69
2013-03-01,68
2013-03-02,75
2013-03-03,80
2013-03-04,65
2013-03-05,48
2013-03-06,64
2013-03-07,56
2013-03-08,83
2013-03-09,73
2013-03-10,86
2013-03-11,55
2013-03-12,58
2013-03-13,66
2013-03-14,54
2013-03-15,69
2013-03-16,80
2013-03-17,81
2013-03-18,60
2013-03-19,63
2013-03-20,66
2013-03-21,62
2013-03-22,65
2013-03-23,75
2013-03-24,74
2013-03-25,70
2013-03-26,56
2013-03-27,57
2013-03-28,70
2013-03-29,80
2013-03-30,71
2013-03-31,77
2014-01-01,84
2014-01-02,100
2014-01-03,90
2014-01-04,94
2014-01-05,92
2014-01-06,79
2014-01-07,62
2014-01-08,60
2014-01-09,73
2014-01-10,66
2014-01-11,96
2014-01-12,90
2014-01-13,81
2014-01-14,70
2014-01-15,76
2014-01-16,74
2014-01-17,71
2014-01-18,82
2014-01-19,83
2014-01-20,72
2014-01-21,78
2014-01-22,72
2014-01-23,78
2014-01-24,69
2014-01-25,86
2014-01-26,85
2014-01-27,79
2014-01-28,77
2014-01-29,65
2014-01-30,77
2014-01-31,81
2014-02-01,73
2014-02-02,94
2014-02-03,61
2014-02-04,62
2014-02-05,58
2014-02-06,78
2014-02-07,88
2014-02-08,89
2014-02-09,87
2014-02-10,69
2014-02-11,70
2014-02-12,74
2014-02-13,66
2014-02-14,64
2014-02-15,86
2014-02-16,78
2014-02-17,65
2014-02-18,70
2014-02-19,70
2014-02-20,62
2014-02-21,66
2014-02-22,69
2014-02-23,80
2014-02-24,69
2014-02-25,66
2014-02-26,60
2014-02-27,71
2014-02-28,69
2014-03-01,72
2014-03-02,88
2014-03-03,68
2014-03-04,67
2014-03-05,64
2014-03-06,64
2014-03-07,62
2014-03-08,73
2014-03-09,80
2014-03-10,67
2014-03-11,61
2014-03-12,68
2014-03-13,69
2014-03-14,64
2014-03-15,63
2014-03-16,76
2014-03-17,55
2014-03-18,74
2014-03-19,65
2014-03-20,71
2014-03-21,77
2014-03-22,83
2014-03-23,92
2014-03-24,61
2014-03-25,59
2014-03-26,60
2014-03-27,65
2014-03-28,74
2014-03-29,70
2014-03-30,75
2014-03-31,54
2015-01-01,86
2015-01-02,85
2015-01-03,94
2015-01-04,82
2015-01-05,75
2015-01-06,76
2015-01-07,68
2015-01-08,62
2015-01-09,73
2015-01-10,90
2015-01-11,76
2015-01-12,71
2015-01-13,70
2015-01-14,73
2015-01-15,78
2015-01-16,76
2015-01-17,88
2015-01-18,81
2015-01-19,65
2015-01-20,71
2015-01-21,70
2015-01-22,75
2015-01-23,80
2015-01-24,92
2015-01-25,100
2015-01-26,70
2015-01-27,73
2015-01-28,66
2015-01-29,76
2015-01-30,75
2015-01-31,93
2015-02-01,85
2015-02-02,73
2015-02-03,78
2015-02-04,80
2015-02-05,73
2015-02-06,74
2015-02-07,85
2015-02-08,84
2015-02-09,74
2015-02-10,72
2015-02-11,69
2015-02-12,73
2015-02-13,74
2015-02-14,79
2015-02-15,85
2015-02-16,69
2015-02-17,64
2015-02-18,70
2015-02-19,69
2015-02-20,66
2015-02-21,82
2015-02-22,76
2015-02-23,68
2015-02-24,63
2015-02-25,71
2015-02-26,73
2015-02-27,76
2015-02-28,80
2015-03-01,89
2015-03-02,76
2015-03-03,66
2015-03-04,65
2015-03-05,77
2015-03-06,74
2015-03-07,84
2015-03-08,76
2015-03-09,75
2015-03-10,70
2015-03-11,70
2015-03-12,70
2015-03-13,72
2015-03-14,83
2015-03-15,79
2015-03-16,73
2015-03-17,66
2015-03-18,64
2015-03-19,71
2015-03-20,75
2015-03-21,87
2015-03-22,82
2015-03-23,72
2015-03-24,73
2015-03-25,71
2015-03-26,69
2015-03-27,72
2015-03-28,84
2015-03-29,81
2015-03-30,65
2015-03-31,76
2016-01-01,100
2016-01-02,89
2016-01-03,82
2016-01-04,70
2016-01-05,70
2016-01-06,80
2016-01-07,78
2016-01-08,81
2016-01-09,90
2016-01-10,78
2016-01-11,74
2016-01-12,69
2016-01-13,67
2016-01-14,65
2016-01-15,69
2016-01-16,95
2016-01-17,73
2016-01-18,72
2016-01-19,69
2016-01-20,69
2016-01-21,66
2016-01-22,70
2016-01-23,72
2016-01-24,72
2016-01-25,57
2016-01-26,69
2016-01-27,71
2016-01-28,73
2016-01-29,74
2016-01-30,72
2016-01-31,88
2016-02-01,73
2016-02-02,60
2016-02-03,67
2016-02-04,65
2016-02-05,68
2016-02-06,77
2016-02-07,68
2016-02-08,58
2016-02-09,59
2016-02-10,63
2016-02-11,65
2016-02-12,75
2016-02-13,73
2016-02-14,59
2016-02-15,57
2016-02-16,62
2016-02-17,58
2016-02-18,70
2016-02-19,69
2016-02-20,75
2016-02-21,67
2016-02-22,62
2016-02-23,67
2016-02-24,58
2016-02-25,62
2016-02-26,62
2016-02-27,72
2016-02-28,67
2016-02-29,61
2016-03-01,54
2016-03-02,54
2016-03-03,60
2016-03-04,64
2016-03-05,67
2016-03-06,59
2016-03-07,53
2016-03-08,58
2016-03-09,64
2016-03-10,62
2016-03-11,68
2016-03-12,64
2016-03-13,62
2016-03-14,56
2016-03-15,54
2016-03-16,58
2016-03-17,55
2016-03-18,68
2016-03-19,69
2016-03-20,63
2016-03-21,60
2016-03-22,57
2016-03-23,57
2016-03-24,64
2016-03-25,61
2016-03-26,62
2016-03-27,59
2016-03-28,56
2016-03-29,58
2016-03-30,53
2016-03-31,56
2017-01-01,85
2017-01-02,83
2017-01-03,78
2017-01-04,75
2017-01-05,76
2017-01-06,76
2017-01-07,80
2017-01-08,73
2017-01-09,67
2017-01-10,69
2017-01-11,68
2017-01-12,70
2017-01-13,70
2017-01-14,78
2017-01-15,72
2017-01-16,60
2017-01-17,66
2017-01-18,63
2017-01-19,64
2017-01-20,68
2017-01-21,67
2017-01-22,60
2017-01-23,58
2017-01-24,58
2017-01-25,61
2017-01-26,65
2017-01-27,73
2017-01-28,67
2017-01-29,68
2017-01-30,64
2017-01-31,61
2017-02-01,63
2017-02-02,69
2017-02-03,70
2017-02-04,73
2017-02-05,59
2017-02-06,55
2017-02-07,59
2017-02-08,63
2017-02-09,57
2017-02-10,64
2017-02-11,69
2017-02-12,66
2017-02-13,60
2017-02-14,62
2017-02-15,58
2017-02-16,65
2017-02-17,70
2017-02-18,66
2017-02-19,62
2017-02-20,58
2017-02-21,58
2017-02-22,63
2017-02-23,65
2017-02-24,70
2017-02-25,64
2017-02-26,65
2017-02-27,59
2017-02-28,100
2017-03-01,57
2017-03-02,59
2017-03-03,67
2017-03-04,66
2017-03-05,64
2017-03-06,59
2017-03-07,61
2017-03-08,57
2017-03-09,67
2017-03-10,64
2017-03-11,67
2017-03-12,59
2017-03-13,55
2017-03-14,57
2017-03-15,56
2017-03-16,53
2017-03-17,58
2017-03-18,65
2017-03-19,56
2017-03-20,54
2017-03-21,57
2017-03-22,49
2017-03-23,57
2017-03-24,62
2017-03-25,60
2017-03-26,54
2017-03-27,57
2017-03-28,56
2017-03-29,58
2017-03-30,55
2017-03-31,64
