date,Amazon dvd
2014-01-14,66
2014-01-15,64
2014-01-16,67
2014-01-17,67
2014-01-18,92
2014-01-19,94
2014-01-20,72
2014-01-21,72
2014-01-22,70
2014-01-23,64
2014-01-24,69
2014-01-25,78
2014-01-26,97
2014-01-27,68
2014-01-28,66
2014-01-29,64
2014-01-30,66
2014-01-31,64
2014-02-01,82
2014-02-02,89
2014-02-03,66
2014-02-04,61
2014-02-05,66
2014-02-06,68
2014-02-07,62
2014-02-08,83
2014-02-09,80
2014-02-10,69
2014-02-11,61
2014-02-12,66
2014-02-13,59
2014-02-14,62
2014-02-15,79
2014-02-16,84
2014-02-17,69
2014-02-18,61
2014-02-19,61
2014-02-20,59
2014-02-21,64
2014-02-22,74
2014-02-23,88
2014-02-24,62
2014-02-25,64
2014-02-26,64
2014-02-27,63
2014-02-28,69
2014-03-01,77
2014-03-02,90
2014-03-03,73
2014-03-04,67
2014-03-05,66
2014-03-06,64
2014-03-07,63
2014-03-08,80
2014-03-09,80
2014-03-10,63
2014-03-11,64
2014-03-12,62
2014-03-13,53
2014-03-14,59
2014-03-15,76
2014-03-16,68
2014-03-17,59
2014-03-18,65
2014-03-19,57
2014-03-20,59
2014-03-21,60
2014-03-22,86
2014-03-23,78
2014-03-24,54
2014-03-25,58
2014-03-26,55
2014-03-27,63
2014-03-28,62
2014-03-29,72
2014-03-30,77
2014-03-31,66
2015-01-01,97
2015-01-02,92
2015-01-03,98
2015-01-04,100
2015-01-05,75
2015-01-06,73
2015-01-07,67
2015-01-08,64
2015-01-09,64
2015-01-10,89
2015-01-11,81
2015-01-12,63
2015-01-13,65
2015-01-14,58
2015-01-15,61
2015-01-16,68
2015-01-17,83
2015-01-18,89
2015-01-19,62
2015-01-20,64
2015-01-21,56
2015-01-22,63
2015-01-23,59
2015-01-24,73
2015-01-25,82
2015-01-26,64
2015-01-27,64
2015-01-28,66
2015-01-29,59
2015-01-30,60
2015-01-31,83
2015-02-01,67
2015-02-02,57
2015-02-03,58
2015-02-04,58
2015-02-05,54
2015-02-06,60
2015-02-07,70
2015-02-08,80
2015-02-09,61
2015-02-10,61
2015-02-11,57
2015-02-12,57
2015-02-13,60
2015-02-14,77
2015-02-15,90
2015-02-16,73
2015-02-17,62
2015-02-18,64
2015-02-19,52
2015-02-20,61
2015-02-21,76
2015-02-22,93
2015-02-23,66
2015-02-24,55
2015-02-25,65
2015-02-26,58
2015-02-27,54
2015-02-28,76
2015-03-01,83
2015-03-02,63
2015-03-03,64
2015-03-04,52
2015-03-05,59
2015-03-06,59
2015-03-07,63
2015-03-08,69
2015-03-09,72
2015-03-10,55
2015-03-11,53
2015-03-12,53
2015-03-13,63
2015-03-14,63
2015-03-15,69
2015-03-16,58
2015-03-17,50
2015-03-18,51
2015-03-19,49
2015-03-20,47
2015-03-21,65
2015-03-22,76
2015-03-23,60
2015-03-24,58
2015-03-25,50
2015-03-26,58
2015-03-27,56
2015-03-28,62
2015-03-29,74
2015-03-30,59
2015-03-31,56
2016-01-01,100
2016-01-02,93
2016-01-03,94
2016-01-04,76
2016-01-05,71
2016-01-06,73
2016-01-07,67
2016-01-08,64
2016-01-09,82
2016-01-10,80
2016-01-11,65
2016-01-12,70
2016-01-13,61
2016-01-14,63
2016-01-15,59
2016-01-16,80
2016-01-17,80
2016-01-18,64
2016-01-19,59
2016-01-20,58
2016-01-21,66
2016-01-22,60
2016-01-23,74
2016-01-24,80
2016-01-25,60
2016-01-26,62
2016-01-27,60
2016-01-28,53
2016-01-29,53
2016-01-30,67
2016-01-31,74
2016-02-01,57
2016-02-02,57
2016-02-03,54
2016-02-04,58
2016-02-05,58
2016-02-06,69
2016-02-07,81
2016-02-08,58
2016-02-09,61
2016-02-10,59
2016-02-11,59
2016-02-12,57
2016-02-13,69
2016-02-14,69
2016-02-15,58
2016-02-16,54
2016-02-17,55
2016-02-18,54
2016-02-19,60
2016-02-20,74
2016-02-21,68
2016-02-22,55
2016-02-23,46
2016-02-24,58
2016-02-25,57
2016-02-26,52
2016-02-27,69
2016-02-28,75
2016-02-29,57
2016-03-01,52
2016-03-02,51
2016-03-03,51
2016-03-04,55
2016-03-05,67
2016-03-06,70
2016-03-07,55
2016-03-08,52
2016-03-09,50
2016-03-10,51
2016-03-11,47
2016-03-12,59
2016-03-13,64
2016-03-14,49
2016-03-15,54
2016-03-16,55
2016-03-17,47
2016-03-18,54
2016-03-19,70
2016-03-20,68
2016-03-21,58
2016-03-22,54
2016-03-23,54
2016-03-24,55
2016-03-25,59
2016-03-26,62
2016-03-27,65
2016-03-28,56
2016-03-29,54
2016-03-30,55
2016-03-31,56
2017-01-01,94
2017-01-02,100
2017-01-03,71
2017-01-04,64
2017-01-05,75
2017-01-06,67
2017-01-07,82
2017-01-08,98
2017-01-09,74
2017-01-10,64
2017-01-11,66
2017-01-12,64
2017-01-13,70
2017-01-14,79
2017-01-15,88
2017-01-16,67
2017-01-17,59
2017-01-18,60
2017-01-19,53
