date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Price
1/30/15,80,72,58,61,57,0,60,628.349976
1/31/15,87,34,50,60,53,0,55,625.309998
2/1/15,89,30,64,60,67,0,52,640.950012
2/2/15,80,38,67,69,100,0,62,655.650024
2/3/15,81,39,53,71,21,0,62,659.369995
2/4/15,81,46,54,63,14,0,61,655.48999
2/5/15,81,60,52,58,43,0,60,659.679993
2/6/15,79,14,50,63,21,42,61,673.25
2/7/15,84,63,54,62,44,21,52,665.599976
2/8/15,90,13,57,60,42,24,53,642.349976
2/9/15,81,21,65,58,33,0,62,647.809998
2/10/15,80,29,56,59,36,42,61,643.299988
2/11/15,79,39,52,58,28,42,65,663.539978
2/12/15,78,25,53,69,35,62,62,661.27002
2/13/15,76,22,56,65,79,0,60,668.450012
2/14/15,80,56,54,56,37,22,53,678.98999
2/15/15,96,13,61,67,33,25,53,671.150024
2/16/15,87,57,60,49,49,24,63,675.340027
2/17/15,79,46,57,61,28,41,62,673.26001
2/18/15,78,43,55,61,57,21,64,664.799988
2/19/15,76,32,52,66,73,30,62,679.059998
2/20/15,77,49,53,54,49,24,61,676.01001
2/21/15,83,41,54,63,60,0,55,666.25
2/22/15,86,41,61,60,45,0,56,672.640015
2/23/15,78,30,63,63,17,0,65,669.830017
2/24/15,78,32,57,61,57,61,65,677.330017
2/25/15,76,50,53,70,29,42,63,664.789978
2/26/15,78,70,76,90,45,70,64,662.320007
2/27/15,75,69,81,67,21,100,62,640.150024
2/28/15,80,62,89,71,0,53,57,657.909973
3/1/15,87,67,88,64,22,82,56,658.640015
3/2/15,78,52,82,75,19,23,62,675.77002
3/3/15,77,77,75,70,36,33,62,670.650024
3/4/15,75,54,76,65,36,22,62,664.140015
3/5/15,76,78,74,73,74,34,62,664.51001
3/6/15,74,67,78,59,38,23,61,663.150024
3/7/15,79,67,78,57,50,53,54,663.700012
3/8/15,83,78,91,62,36,26,56,662.789978
3/9/15,78,44,76,61,42,66,63,675.200012
3/10/15,75,65,76,68,36,33,64,693.969971
3/11/15,74,61,71,63,18,77,62,689.070007
3/12/15,74,96,68,59,36,0,61,675.890015
3/13/15,73,74,72,59,19,80,62,636.98999
3/14/15,77,73,75,69,14,53,71,633.789978
3/15/15,84,100,87,71,43,52,61,632.650024
3/16/15,77,58,86,61,42,22,65,607.940002
3/17/15,74,79,76,62,79,22,62,607.049988
3/18/15,73,63,71,64,36,43,61,617.73999
3/19/15,72,62,78,64,31,33,62,617.890015
3/20/15,72,72,76,54,57,46,64,581.809998
3/21/15,80,61,85,51,29,39,56,593
3/22/15,83,89,92,63,50,26,57,570.179993
3/23/15,77,60,82,67,47,65,66,574.47998
3/24/15,75,44,71,64,36,55,64,571.77002
3/25/15,77,70,73,63,42,33,60,575.02002
3/26/15,75,55,73,63,44,68,100,596.380005
3/27/15,75,53,74,75,27,25,98,596.530029
3/28/15,79,84,73,60,65,0,63,601.25
3/29/15,84,60,85,55,71,52,58,583.349976
3/30/15,80,61,73,65,24,0,62,635.349976
3/31/15,78,46,73,62,36,0,62,587
4/1/15,87,61,73,69,18,22,78,574.809998
4/2/15,83,64,61,74,24,33,79,552.099976
4/3/15,83,62,70,70,25,58,73,531.070007
4/4/15,80,59,78,61,29,53,69,536.26001
4/5/15,82,70,81,69,22,26,64,502.130005
4/6/15,83,88,74,69,36,22,71,488.100006
4/7/15,81,72,68,67,77,32,76,482.070007
4/8/15,82,73,69,63,54,55,77,490.480011
4/9/15,80,75,68,57,55,68,79,503.820007
4/10/15,81,67,71,61,45,23,79,507.079987
4/11/15,85,84,77,63,50,65,69,521.099976
4/12/15,89,57,79,62,56,77,68,534.099976
4/13/15,84,65,73,64,36,22,79,525
4/14/15,81,53,71,69,77,43,76,534.900024
4/15/15,81,62,69,67,100,43,77,559.5
4/16/15,79,85,71,57,61,22,78,552.940002
4/17/15,78,62,70,62,70,58,79,554.039978
4/18/15,82,47,80,65,36,53,68,555.150024
4/19/15,89,35,78,58,36,53,72,555.22998
4/20/15,84,68,77,52,25,34,82,552.52002
4/21/15,82,64,73,64,24,54,80,579.039978
4/22/15,80,67,74,61,30,32,78,580.210022
4/23/15,79,53,73,69,36,65,78,577.48999
4/24/15,79,68,72,66,38,46,78,575.140015
4/25/15,84,78,87,71,86,91,69,562.799988
4/26/15,90,69,100,57,21,26,71,560.26001
4/27/15,84,89,76,77,36,22,80,559.469971
4/28/15,81,58,77,62,54,98,81,558.929993
4/29/15,80,69,72,79,36,22,77,569.609985
4/30/15,80,63,74,65,38,80,78,573.369995
5/1/15,85,65,71,58,51,35,75,577.02002
5/2/15,82,88,85,60,44,66,71,574.27002
5/3/15,87,55,84,69,51,26,69,559.440002
5/4/15,85,88,72,63,18,21,82,552.080017
5/5/15,85,69,74,62,29,65,83,553.97998
5/6/15,100,68,75,69,30,33,81,560.47998
5/7/15,89,51,68,78,24,66,81,569.630005
5/8/15,83,72,76,68,38,35,88,582.950012
5/9/15,85,50,82,69,22,66,77,579.869995
5/10/15,87,63,84,59,29,65,77,593.859985
5/11/15,83,52,74,100,59,54,90,598.690002
5/12/15,83,87,70,86,53,33,89,593.640015
5/13/15,78,53,82,74,42,22,84,598.5
5/14/15,80,84,91,84,31,67,86,593.190002
5/15/15,80,64,74,77,38,81,84,586.140015
5/16/15,84,67,90,76,43,26,73,602.080017
5/17/15,88,41,94,76,22,53,72,591.429993
5/18/15,84,63,85,83,60,22,84,594.599976
5/19/15,83,61,88,76,72,44,86,595.929993
5/20/15,81,96,79,73,42,67,84,603.169983
5/21/15,77,87,76,70,49,45,87,614.820007
5/22/15,76,49,77,71,51,35,84,620.75
5/23/15,80,62,86,69,22,66,77,625.890015
5/24/15,81,35,92,66,14,26,83,635.349976
5/25/15,85,71,80,68,48,78,85,627.900024
5/26/15,83,65,80,64,30,76,85,632.98999
5/27/15,81,9,60,51,41,7,85,631
5/28/15,82,6,57,47,55,8,90,620.5
5/29/15,81,13,65,65,0,18,89,626.200012
5/30/15,85,9,67,70,13,13,83,616.880005
5/31/15,94,12,62,63,10,7,83,606.570007
6/1/15,86,12,59,61,20,0,89,602
6/2/15,84,9,59,54,21,0,88,659.590027
6/3/15,83,8,58,67,10,4,87,683.849976
6/4/15,82,10,60,70,43,15,85,671.320007
6/5/15,80,7,63,54,74,0,84,670.900024
6/6/15,82,14,66,64,37,13,77,659.090027
6/7/15,88,8,58,77,51,14,79,673.950012
6/8/15,87,13,68,81,20,14,86,679.75
6/9/15,83,14,100,100,31,100,86,703.070007
6/10/15,82,10,67,76,21,80,85,713.22998
6/11/15,79,9,63,77,32,11,86,717.929993
6/12/15,80,9,69,66,65,9,87,709.919983
6/13/15,83,8,77,77,0,18,80,710.659973
6/14/15,91,13,67,58,43,4,79,695.27002
6/15/15,85,17,62,82,62,18,86,697.450012
6/16/15,85,12,56,71,41,11,84,698.52002
6/17/15,84,12,56,68,31,11,86,702.799988
6/18/15,85,11,62,61,64,4,86,696.75
6/19/15,81,6,71,53,37,0,87,704.200012
6/20/15,85,9,69,57,25,8,81,708.349976
6/21/15,90,13,63,71,20,0,76,714.909973
6/22/15,88,8,64,60,100,11,88,712.23999
6/23/15,89,42,58,65,41,7,100,722.789978
6/24/15,86,9,58,67,41,4,97,719.440002
6/25/15,83,14,62,59,22,0,95,728.23999
6/26/15,81,18,65,69,61,4,91,725.539978
6/27/15,86,10,74,68,49,9,81,726.72998
6/28/15,91,10,67,81,62,4,80,723.73999
6/29/15,86,12,57,71,31,4,90,726.640015
6/30/15,85,11,60,66,10,7,85,727.650024
7/1/15,51,10,61,72,42,4,91,717.909973
7/2/15,51,8,56,69,11,11,94,715.23999
7/3/15,48,8,63,75,37,0,89,719.299988
7/4/15,50,16,67,69,0,4,83,714.26001
7/5/15,54,9,61,96,30,14,85,717.51001
7/6/15,54,14,63,84,10,4,96,706.390015
7/7/15,54,11,63,89,31,11,92,714.01001
7/8/15,55,10,59,72,10,14,95,715.820007
7/9/15,53,10,61,81,21,7,93,710.599976
7/10/15,52,12,64,61,24,4,90,722.080017
7/11/15,53,100,68,70,36,8,82,698.960022
7/12/15,58,11,63,67,41,0,84,691.359985
7/13/15,56,7,61,85,30,7,94,707.950012
7/14/15,62,14,59,83,20,7,92,715.599976
7/15/15,100,7,62,67,31,21,100,715.619995
7/16/15,61,8,60,77,10,11,95,725.679993
7/17/15,54,8,64,60,60,8,93,728.099976
7/18/15,54,8,72,67,58,12,93,737.609985
7/19/15,58,11,60,74,78,14,87,736.570007
7/20/15,55,17,61,81,39,10,99,745.809998
7/21/15,54,8,58,77,40,7,93,753.780029
7/22/15,54,7,60,83,10,21,93,748.210022
7/23/15,52,15,60,96,52,7,91,742.630005
7/24/15,53,10,66,69,36,8,90,741.200012
7/25/15,52,9,69,77,36,0,80,735.440002
7/26/15,57,11,68,77,19,3,80,736.070007
7/27/15,55,14,64,81,20,10,89,739.950012
7/28/15,54,11,64,67,20,17,88,745.719971
7/29/15,54,9,56,70,40,0,90,744.429993
7/30/15,53,4,59,80,31,7,86,744.859985
7/31/15,52,15,59,83,23,4,85,739.609985
8/1/15,52,11,68,72,24,16,80,735.590027
8/2/15,56,17,58,61,41,14,85,736.669983
8/3/15,55,7,62,75,10,10,92,752.609985
8/4/15,55,9,59,68,10,3,89,758.809998
8/5/15,54,11,58,70,10,3,89,767.73999
8/6/15,53,14,54,74,0,14,87,760.580017
