date,Microsoft,Glasses,Phone,Office 10,Band,Hologram,Surface,Office,Silverlight,Outlook,Price
2/24/08,81,50,60,93,21,0,23,83,16,62,29.17
2/25/08,88,0,90,0,27,0,32,85,23,86,29.139999
2/26/08,93,36,53,0,34,0,51,88,38,79,28.559999
2/27/08,96,0,71,0,23,0,37,91,100,88,28.049999
2/28/08,95,39,64,71,28,0,50,91,59,87,27.91
2/29/08,89,41,72,0,25,0,49,84,67,82,28.379999
3/1/08,81,0,60,0,26,0,48,89,66,61,29.5
3/2/08,84,0,54,0,23,0,39,92,69,50,29.16
3/3/08,90,37,78,0,23,51,47,86,40,87,29
3/4/08,92,37,52,0,35,0,59,88,51,90,29.16
3/5/08,92,37,48,0,23,0,62,94,52,95,29.16
3/6/08,95,38,51,0,20,0,61,92,54,99,28.75
3/7/08,88,40,48,0,25,0,42,82,52,81,28.889999
3/8/08,80,0,57,0,16,0,30,84,49,59,29.110001
3/9/08,81,49,72,0,15,0,42,85,47,58,28.280001
3/10/08,88,0,59,0,23,0,35,85,45,81,28.059999
3/11/08,94,0,62,0,17,0,37,90,52,86,28.25
3/12/08,95,37,82,0,17,0,30,90,87,89,28.950001
3/13/08,91,38,47,0,23,0,34,90,48,89,29.219999
3/14/08,86,40,56,0,21,54,29,82,35,89,30
3/15/08,78,0,64,96,24,0,35,83,44,65,30.42
3/16/08,79,0,56,0,15,0,36,81,36,66,30.25
3/17/08,86,37,70,0,19,0,44,83,33,77,31.450001
3/18/08,92,0,51,70,20,0,39,88,37,89,31.799999
3/19/08,93,39,59,0,31,0,42,86,45,86,29.83
3/20/08,90,42,66,0,26,58,34,81,40,81,28.99
3/21/08,85,0,63,0,22,0,27,83,47,81,28.639999
3/22/08,79,0,68,0,40,0,25,74,43,62,28.52
3/23/08,77,0,39,0,23,0,36,82,33,60,29.4
3/24/08,86,0,63,0,26,0,30,83,39,75,29.24
3/25/08,90,37,79,0,15,100,28,85,32,86,29.08
3/26/08,89,0,55,0,28,0,48,87,30,86,29.700001
3/27/08,86,37,56,0,19,0,32,81,33,79,29.209999
3/28/08,85,40,62,73,25,0,30,80,35,79,29.27
3/29/08,76,51,49,0,16,0,41,77,41,57,29.389999
3/30/08,78,100,75,0,23,0,32,81,38,61,20.33
3/31/08,87,36,51,0,23,0,45,86,29,85,20.52
1/1/09,60,66,57,41,27,0,20,68,59,62,20.76
1/2/09,67,50,42,0,20,0,15,80,67,74,19.51
1/3/09,66,55,42,69,45,0,23,78,53,65,20.120001
1/4/09,65,0,63,100,22,0,33,86,58,65,19.52
1/5/09,72,0,49,0,26,0,29,86,47,91,19.469999
1/6/09,74,0,59,26,34,0,17,88,50,100,19.82
1/7/09,73,0,57,25,33,0,35,86,57,90,19.09
1/8/09,78,40,53,25,50,0,32,91,51,98,19.24
1/9/09,85,42,55,40,60,50,41,86,56,84,19.709999
1/10/09,74,0,50,0,44,0,45,85,60,63,18.48
1/11/09,73,52,56,33,22,0,45,89,54,62,19.379999
1/12/09,76,0,64,0,32,47,36,90,54,98,17.110001
1/13/09,78,40,45,49,56,47,52,92,51,86,17.200001
1/14/09,77,0,60,24,40,47,52,91,61,85,17.629999
1/15/09,77,0,62,0,33,0,28,94,51,95,17.66
1/16/09,74,42,54,0,43,50,33,83,55,90,18.040001
1/17/09,70,53,38,0,43,0,46,84,49,57,17.59
1/18/09,68,0,42,32,42,0,36,91,50,60,17.1
1/19/09,74,39,41,0,32,0,43,89,48,84,17.83
1/20/09,75,0,50,24,56,0,38,93,60,92,18.5
1/21/09,77,0,62,0,40,0,29,89,50,90,18.629999
