date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Amazon mp3,Amazon dvd,Amazon india,Amazon music,Price
2/25/08,76,0,0,69,0,0,51,47,62,25,61,46.189999
2/26/08,84,0,0,40,0,32,47,38,71,31,67,43.599998
2/27/08,90,0,0,49,0,32,41,33,52,32,60,44.41
2/28/08,78,0,0,20,0,0,51,34,61,45,71,43.950001
2/29/08,78,38,0,61,0,32,50,46,59,41,60,44.259998
3/1/08,78,39,0,32,0,0,54,59,75,43,75,43.139999
3/2/08,77,52,0,42,0,45,53,56,68,59,81,41.900002
3/3/08,82,0,0,28,0,0,52,51,66,50,60,41.259998
3/4/08,82,0,0,59,0,0,47,51,62,44,63,42.700001
3/5/08,89,0,0,20,0,31,43,39,59,57,63,43.02
3/6/08,77,0,0,29,0,0,53,44,53,26,59,43.610001
3/7/08,75,0,0,31,0,0,54,33,50,61,65,43.049999
3/8/08,73,39,0,53,0,34,54,49,59,68,76,42.080002
3/9/08,76,0,0,43,0,45,52,51,81,58,91,41.990002
3/10/08,75,52,0,56,0,0,50,43,63,50,64,41.689999
3/11/08,82,0,0,60,0,0,43,42,57,82,52,40.98
3/12/08,84,36,0,50,0,0,43,35,58,25,68,41.169998
3/13/08,78,0,0,50,0,0,53,37,49,45,56,41.630001
3/14/08,74,0,0,21,0,0,54,45,53,41,73,43.619999
3/15/08,74,0,0,43,0,0,53,50,73,44,76,44.689999
3/16/08,71,0,0,28,0,46,53,58,69,59,91,47.619999
3/17/08,71,100,0,82,100,0,47,38,65,38,75,48.5
3/18/08,77,36,0,49,71,0,44,37,64,45,69,50.23
3/19/08,83,0,0,52,75,0,45,28,58,13,73,50.349998
3/20/08,78,0,0,60,36,32,60,33,55,36,61,49.400002
3/21/08,71,0,87,20,36,0,53,36,67,56,65,50.950001
3/22/08,75,77,0,21,0,34,53,47,60,56,83,51.759998
3/23/08,75,0,0,84,50,0,57,53,88,19,76,51.939999
3/24/08,75,0,0,70,0,0,56,41,74,50,82,50.240002
3/25/08,79,35,0,19,35,31,49,35,70,37,67,49.939999
3/26/08,83,0,0,19,36,0,90,42,53,44,58,49.25
3/27/08,76,73,0,80,36,0,100,47,54,51,59,50.110001
3/28/08,73,37,0,81,0,0,69,49,58,61,73,50.57
3/29/08,75,40,0,32,39,0,56,59,74,43,80,49.77
3/30/08,75,0,0,0,52,46,55,58,70,59,79,49.599998
3/31/08,75,38,0,43,36,0,55,44,56,80,61,49.77
1/1/09,76,0,0,36,36,0,42,100,100,100,87,49
1/2/09,94,0,0,15,0,0,74,77,79,48,83,50.810001
1/3/09,85,41,0,32,39,0,85,78,75,38,87,51.02
1/4/09,86,48,0,19,45,0,88,82,68,95,95,51.799999
1/5/09,82,0,0,44,0,0,85,62,66,57,74,53.389999
1/6/09,83,0,0,57,0,0,78,64,60,57,68,53.709999
1/7/09,81,84,0,16,0,0,73,76,52,50,72,54.400002
1/8/09,86,0,0,14,0,0,71,68,53,72,71,52.560001
1/9/09,88,0,0,14,35,0,61,45,49,64,74,52.59
1/10/09,84,36,0,42,35,0,67,100,74,81,71,51.240002
1/11/09,83,39,0,15,0,0,86,87,77,64,95,51
1/12/09,83,53,0,21,51,0,82,60,61,60,62,49.5
1/13/09,80,0,0,30,0,0,83,51,58,65,68,48.32
1/14/09,80,36,0,28,34,0,80,63,49,60,65,49.049999
1/15/09,84,36,0,21,0,0,68,63,57,38,64,49.599998
1/16/09,88,0,0,41,0,36,65,69,52,52,60,49.5
1/17/09,83,0,0,50,0,0,85,67,80,87,85,48.669998
1/18/09,81,0,0,15,0,0,82,79,69,49,96,47.099998
1/19/09,83,0,0,21,0,0,84,54,60,43,70,46.02
1/20/09,81,51,0,30,49,0,83,55,43,75,64,46.990002
1/21/09,82,0,0,27,0,36,81,56,48,64,52,44.759998
1/22/09,84,35,0,48,33,0,72,41,54,54,54,45.82
1/23/09,90,0,0,63,35,0,69,58,50,51,74,39.98
1/24/09,84,37,0,35,0,0,88,82,58,64,80,38.779999
1/25/09,83,39,0,30,38,0,82,83,72,70,100,39.110001
1/26/09,83,53,0,82,0,0,88,53,45,81,65,37.970001
1/27/09,83,0,74,41,0,0,87,56,45,69,59,38.580002
1/28/09,86,39,53,29,0,39,82,58,50,32,52,38.919998
